Model Type,Model Labs,Cohort,N,AUC,Threshold,Accuracy,Specificity,Precision,Negative predictive value,False positive rate,False negative rate,False discovery rate
mortality,with_lab,Training Set,2547,"99.54 (99.27,99.8)","49.04 (47.1,50.98)","96.54 (95.84,97.25)","98.69 (98.25,99.13)","95.85 (95.07,96.62)","96.76 (96.07,97.45)","1.31 (0.87,1.75)","9.84 (8.69,11.0)","4.15 (3.38,4.93)"
mortality,with_lab,Testing Set,284,"92.19 (89.07,95.31)","11.72 (7.98,15.47)","79.23 (74.51,83.94)","75.59 (70.59,80.58)","55.17 (49.39,60.96)","95.83 (93.51,98.16)","24.41 (19.42,29.41)","9.86 (6.39,13.33)","44.83 (39.04,50.61)"
mortality,with_lab,Greek HC,323,"86.24 (82.49,90.0)","4.62 (2.33,6.91)","63.78 (58.54,69.02)","60.82 (55.5,66.15)","20.28 (15.89,24.66)","98.33 (96.94,99.73)","39.18 (33.85,44.5)","9.38 (6.2,12.55)","79.72 (75.34,84.11)"
mortality,without_lab,Training Set,2573,"92.26 (91.23,93.29)","25.15 (23.47,26.83)","80.68 (79.16,82.21)","77.56 (75.95,79.18)","57.21 (55.3,59.13)","95.9 (95.13,96.67)","22.44 (20.82,24.05)","9.95 (8.8,11.11)","42.79 (40.87,44.7)"
mortality,without_lab,Testing Set,286,"86.29 (82.31,90.28)","16.19 (11.92,20.46)","71.68 (66.46,76.9)","65.42 (59.91,70.93)","46.76 (40.98,52.55)","95.24 (92.77,97.71)","34.58 (29.07,40.09)","9.72 (6.29,13.16)","53.24 (47.45,59.02)"
mortality,without_lab,Greek HC,323,"73.79 (68.99,78.58)","5.81 (3.26,8.36)","49.54 (44.08,54.99)","45.02 (39.59,50.44)","15.34 (11.41,19.27)","97.76 (96.15,99.37)","54.98 (49.56,60.41)","9.38 (6.2,12.55)","84.66 (80.73,88.59)"
